"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1918-09-26",,,"92","52"
"USC00427516","ST. GEORGE, UT US","1918-09-27",,,"94","54"
"USC00427516","ST. GEORGE, UT US","1918-09-28",,,"95","55"
"USC00427516","ST. GEORGE, UT US","1918-09-29",,,"96","61"
"USC00427516","ST. GEORGE, UT US","1918-09-30",,,"91","58"
"USC00427516","ST. GEORGE, UT US","1918-10-01",,,"92","59"
"USC00427516","ST. GEORGE, UT US","1918-10-02",,,"91","60"
"USC00427516","ST. GEORGE, UT US","1918-10-03","0.20",,"73","59"
"USC00427516","ST. GEORGE, UT US","1918-10-04","0.01",,"84","59"
"USC00427516","ST. GEORGE, UT US","1918-10-05",,,"84","58"
"USC00427516","ST. GEORGE, UT US","1918-10-06",,,"85","53"
"USC00427516","ST. GEORGE, UT US","1918-10-07",,,"88","55"
"USC00427516","ST. GEORGE, UT US","1918-10-08",,,"80","51"
"USC00427516","ST. GEORGE, UT US","1918-10-09",,,"86","50"
"USC00427516","ST. GEORGE, UT US","1918-10-10",,,"86","49"
"USC00427516","ST. GEORGE, UT US","1918-10-11",,,"88","49"
"USC00427516","ST. GEORGE, UT US","1918-10-12",,,"92","48"
"USC00427516","ST. GEORGE, UT US","1918-10-13",,,"93","54"
"USC00427516","ST. GEORGE, UT US","1918-10-14",,,"76","55"
"USC00427516","ST. GEORGE, UT US","1918-10-15",,,"84","51"
"USC00427516","ST. GEORGE, UT US","1918-10-16",,,"85","54"
"USC00427516","ST. GEORGE, UT US","1918-10-17",,,"72","43"
"USC00427516","ST. GEORGE, UT US","1918-10-18",,,"84","43"
"USC00427516","ST. GEORGE, UT US","1918-10-19","0.05",,"70","51"
"USC00427516","ST. GEORGE, UT US","1918-10-20","0.05",,"72","50"
"USC00427516","ST. GEORGE, UT US","1918-10-21",,,"70","43"
"USC00427516","ST. GEORGE, UT US","1918-10-22",,,"78","44"
"USC00427516","ST. GEORGE, UT US","1918-10-23",,,"79","42"
"USC00427516","ST. GEORGE, UT US","1918-10-24",,,"72","44"
"USC00427516","ST. GEORGE, UT US","1918-10-25",,,"65","35"
"USC00427516","ST. GEORGE, UT US","1918-10-26",,,"66","32"
"USC00427516","ST. GEORGE, UT US","1918-10-27",,,"72","38"
"USC00427516","ST. GEORGE, UT US","1918-10-28",,,"73","36"
"USC00427516","ST. GEORGE, UT US","1918-10-29",,,"73","37"
"USC00427516","ST. GEORGE, UT US","1918-10-30",,,"87","36"
"USC00427516","ST. GEORGE, UT US","1918-10-31",,,"79","36"
"USC00427516","ST. GEORGE, UT US","1918-11-01",,,"81","35"
"USC00427516","ST. GEORGE, UT US","1918-11-02",,,"80","35"
"USC00427516","ST. GEORGE, UT US","1918-11-03",,,"81","48"
"USC00427516","ST. GEORGE, UT US","1918-11-04",,,"64","32"
"USC00427516","ST. GEORGE, UT US","1918-11-05",,,"59","29"
"USC00427516","ST. GEORGE, UT US","1918-11-06",,,"57","25"
"USC00427516","ST. GEORGE, UT US","1918-11-07",,,"59","25"
"USC00427516","ST. GEORGE, UT US","1918-11-08",,,"62","25"
"USC00427516","ST. GEORGE, UT US","1918-11-09",,,"70","26"
"USC00427516","ST. GEORGE, UT US","1918-11-10",,,"70","27"
"USC00427516","ST. GEORGE, UT US","1918-11-11",,,"69","27"
